id,name,risk_level,polygon,crime_index,description,source
1,Riverside Restricted Area,restricted,"[[26.172, 91.762], [26.172, 91.77799999999999], [26.188, 91.77799999999999], [26.188, 91.762]]",85.0,Brahmaputra embankment - entry prohibited after dusk (flood + trafficking route),manual
2,Old Market High-Risk Zone,high,"[[26.157, 91.742], [26.157, 91.758], [26.173, 91.758], [26.173, 91.742]]",70.0,Pickpocketing and tourist-scam hotspot around the night bazaar,manual
3,Hillside Trek Caution Zone,medium,"[[26.115, 91.705], [26.115, 91.72500000000001], [26.135, 91.72500000000001], [26.135, 91.705]]",40.0,"Landslide-prone trekking route, no mobile coverage in the ravine",manual
4,City Center Safe Zone,low,"[[26.1385, 91.7302], [26.1385, 91.7422], [26.1505, 91.7422], [26.1505, 91.7302]]",15.0,Well-patrolled central tourist district with CCTV coverage,manual
5,Paltan Bazaar Transit Hub,high,"[[26.1782, 91.7458], [26.1782, 91.75479999999999], [26.1852, 91.75479999999999], [26.1852, 91.7458]]",68.0,Railway-station approach: highest reported theft density in the city,manual
6,Fancy Bazaar Night Market,high,"[[26.1806, 91.73939999999999], [26.1806, 91.7474], [26.1866, 91.7474], [26.1866, 91.73939999999999]]",64.0,"Dense evening crowd, repeated snatching complaints after 20:00",manual
7,Kamakhya Hill Approach,medium,"[[26.1604, 91.6995], [26.1604, 91.7115], [26.1724, 91.7115], [26.1724, 91.6995]]",45.0,"Steep pilgrim road; overcrowding during Ambubachi, frequent stampede risk",manual
8,Umananda Ferry Crossing,medium,"[[26.1939, 91.7428], [26.1939, 91.7478], [26.198900000000002, 91.7478], [26.198900000000002, 91.7428]]",38.0,River crossing - overloaded ferries flagged during monsoon,manual
9,Deepor Beel Wetland Edge,restricted,"[[26.111, 91.638], [26.111, 91.662], [26.129, 91.662], [26.129, 91.638]]",78.0,Protected wetland and elephant corridor - unescorted entry prohibited,manual
10,Airport Approach Corridor,low,"[[26.098100000000002, 91.5779], [26.098100000000002, 91.59389999999999], [26.1141, 91.59389999999999], [26.1141, 91.5779]]",22.0,Secured airport perimeter and approach road,manual
11,Jalukbari Interchange,medium,"[[26.147000000000002, 91.659], [26.147000000000002, 91.671], [26.157, 91.671], [26.157, 91.659]]",48.0,"NH-27 interchange - high-speed traffic, frequent road accidents",manual
12,Saraighat Bridge Span,high,"[[26.1859, 91.661], [26.1859, 91.679], [26.1919, 91.679], [26.1919, 91.661]]",60.0,"Bridge span: no pedestrian refuge, recurring incident location",manual
13,Dispur Civic Core,low,"[[26.137, 91.784], [26.137, 91.796], [26.147, 91.796], [26.147, 91.784]]",18.0,State secretariat district under continuous police presence,manual
14,Six Mile Commercial Belt,medium,"[[26.1305, 91.79950000000001], [26.1305, 91.8105], [26.1395, 91.8105], [26.1395, 91.79950000000001]]",42.0,"Busy commercial strip, moderate petty-crime reporting",manual
15,Khanapara Border Checkpoint,high,"[[26.112, 91.812], [26.112, 91.824], [26.124, 91.824], [26.124, 91.812]]",66.0,Assam-Meghalaya boundary checkpoint - vehicle-crime and smuggling reports,manual
16,Noonmati Refinery Buffer,restricted,"[[26.171, 91.79899999999999], [26.171, 91.813], [26.185000000000002, 91.813], [26.185000000000002, 91.79899999999999]]",80.0,Industrial exclusion zone around the refinery - civilians prohibited,manual
17,Narengi Cantonment Perimeter,restricted,"[[26.167, 91.83200000000001], [26.167, 91.848], [26.183, 91.848], [26.183, 91.83200000000001]]",82.0,Military cantonment - photography and entry prohibited,manual
18,Chandmari Residential,low,"[[26.1785, 91.76750000000001], [26.1785, 91.7765], [26.1875, 91.7765], [26.1875, 91.76750000000001]]",20.0,Quiet residential ward with a local outpost,manual
19,Bharalumukh Riverbank,medium,"[[26.1655, 91.7305], [26.1655, 91.73949999999999], [26.174500000000002, 91.73949999999999], [26.174500000000002, 91.7305]]",52.0,"Flood-prone riverbank, sanitation and night-safety complaints",manual
20,Lokhra Bypass Stretch,high,"[[26.098, 91.728], [26.098, 91.742], [26.112000000000002, 91.742], [26.112000000000002, 91.728]]",62.0,"Unlit bypass, repeated night-time vehicle-borne robbery reports",manual
21,Umiam Lake Watersports Area,medium,"[[25.645, 91.877], [25.645, 91.901], [25.669, 91.901], [25.669, 91.877]]",35.0,Boating zone - drowning risk outside marked buoys,manual
22,Cherrapunji Cliff Edge,restricted,"[[25.266, 91.67569999999999], [25.266, 91.6957], [25.286, 91.6957], [25.286, 91.67569999999999]]",88.0,"Nohkalikai viewpoint cliff edge - fatal falls recorded, barrier line enforced",manual
23,Dawki Border Belt,restricted,"[[25.175, 92.005], [25.175, 92.035], [25.205000000000002, 92.035], [25.205000000000002, 92.005]]",90.0,"International border zone - permit mandatory, unescorted entry prohibited",manual
24,Kaziranga Core Zone,restricted,"[[26.5375, 93.1111], [26.5375, 93.2311], [26.6175, 93.2311], [26.6175, 93.1111]]",75.0,"Wildlife core area - foot entry prohibited, poaching-patrol live-fire zone",manual
25,Tawang High-Altitude Sector,high,"[[27.556099999999997, 91.82939999999999], [27.556099999999997, 91.8894], [27.6161, 91.8894], [27.6161, 91.82939999999999]]",58.0,"Inner Line Permit sector, altitude-sickness and landslide exposure",manual
26,Loktak Lake Fringe,medium,"[[24.5133, 93.79169999999999], [24.5133, 93.8417], [24.5533, 93.8417], [24.5533, 93.79169999999999]]",44.0,Floating-island fringe - navigation hazard after dark,manual
27,Auto Hot-Zone #0 (DBSCAN),high,"[[26.179918280395373, 91.74851828039537], [26.179918280395373, 91.75291828039538], [26.18431828039537, 91.75291828039538], [26.18431828039537, 91.74851828039537]]",58.4,Auto-discovered from 185 historical incidents near Paltan Bazaar,auto
28,Auto Hot-Zone #1 (DBSCAN),high,"[[26.18063467556141, 91.7404346755614], [26.18063467556141, 91.7448346755614], [26.185034675561408, 91.7448346755614], [26.185034675561408, 91.7404346755614]]",60.2,Auto-discovered from 97 historical incidents near Fancy Bazaar,auto
29,Auto Hot-Zone #2 (DBSCAN),high,"[[26.164730098462268, 91.70383009846226], [26.164730098462268, 91.70823009846227], [26.169130098462265, 91.70823009846227], [26.169130098462265, 91.70383009846226]]",72.3,Auto-discovered from 89 historical incidents near Kamakhya Temple,auto
30,Auto Hot-Zone #3 (DBSCAN),high,"[[26.13307147753735, 91.80307147753736], [26.13307147753735, 91.80747147753736], [26.137471477537346, 91.80747147753736], [26.137471477537346, 91.80307147753736]]",58.5,Auto-discovered from 92 historical incidents near Six Mile,auto
31,Auto Hot-Zone #4 (DBSCAN),high,"[[26.114955913924412, 91.81495591392441], [26.114955913924412, 91.81935591392441], [26.11935591392441, 91.81935591392441], [26.11935591392441, 91.81495591392441]]",66.1,Auto-discovered from 58 historical incidents near Khanapara,auto
32,Auto Hot-Zone #5 (DBSCAN),high,"[[26.14998373518882, 91.66298373518882], [26.14998373518882, 91.66738373518882], [26.154383735188816, 91.66738373518882], [26.154383735188816, 91.66298373518882]]",69.5,Auto-discovered from 259 historical incidents near Jalukbari,auto
33,Auto Hot-Zone #6 (DBSCAN),high,"[[26.125961321866125, 91.79696132186612], [26.125961321866125, 91.80136132186612], [26.130361321866122, 91.80136132186612], [26.130361321866122, 91.79696132186612]]",67.4,Auto-discovered from 48 historical incidents near Beltola Bazaar,auto
34,Auto Hot-Zone #7 (DBSCAN),high,"[[26.16357642210139, 91.7785764221014], [26.16357642210139, 91.7829764221014], [26.167976422101386, 91.7829764221014], [26.167976422101386, 91.7785764221014]]",60.6,Auto-discovered from 261 historical incidents near Zoo Road Tiniali,auto
